exposed_date,exposed_hour,expose_cnt,watch_cnt,like_cnt,comment_cnt,avg_watch_time,watch_rate_avg
20220915,17,230,209,6,0,45.35,0.321
20220915,18,935,875,12,0,27.1,0.2906
20220915,19,1041,979,26,0,33.05,0.4196
20220915,20,1154,1059,17,0,48.59,0.4519
20220915,21,1740,1637,14,1,43.72,0.483
20220915,22,2994,2860,22,6,41.7,0.4333
20220915,23,3406,3151,116,3,39.77,0.4097
20220916,0,3581,3282,86,3,40.31,0.4163
20220916,1,4467,4176,95,9,36.34,0.4502
20220916,2,5100,4733,85,11,35.35,0.429
20220916,3,5807,5479,42,12,34.68,0.4438
20220916,4,6745,6384,171,5,36.4,0.4521
20220916,5,6748,6334,75,6,37.36,0.4757
20220916,6,5637,5400,68,14,39.04,0.4666
20220916,7,5790,5414,88,7,34.38,0.4369
20220916,8,6214,5769,76,7,35.28,0.4187
20220916,9,6428,6024,111,22,36.08,0.4027
20220916,10,7401,7072,171,9,35.56,0.4841
20220916,11,8889,8498,213,21,39.43,0.4973
20220916,12,10239,9691,213,25,36.45,0.4545
20220916,13,10650,10116,265,27,37.03,0.4707
20220916,14,8375,7972,206,27,38.43,0.4719
20220916,15,4627,4385,158,26,33.56,0.4436
20220916,17,268,244,3,0,37.55,0.3329
20220916,18,1200,1141,0,0,39.52,0.4157
20220916,19,1117,1047,9,9,35.47,0.4092
20220916,20,1142,1095,8,5,39.13,0.4408
20220916,21,1790,1696,22,0,45.95,0.5023
20220916,22,3344,3138,89,14,38.82,0.4559
20220916,23,4777,4444,141,23,40.21,0.4424
20220917,0,5711,5280,116,12,35.47,0.471
20220917,1,5796,5347,172,22,37.51,0.4491
20220917,2,5927,5630,154,9,37.6,0.4786
20220917,3,7240,6798,164,19,39.22,0.4739
20220917,4,7545,7108,137,19,34.92,0.4748
20220917,5,7011,6686,238,18,35.03,0.5018
20220917,6,6439,6042,163,24,38.12,0.4674
20220917,7,6963,6610,172,18,37.37,0.4661
20220917,8,6085,5765,88,4,35.26,0.4453
20220917,9,6126,5793,132,26,37.62,0.4339
20220917,10,6700,6371,143,11,39.87,0.4949
20220917,11,8585,8073,90,23,42.64,0.4433
20220917,12,9298,8883,154,15,40.04,0.4823
20220917,13,9246,8779,199,11,38.13,0.4743
20220917,14,7281,6859,142,18,36.51,0.491
20220917,15,4067,3896,47,5,31.98,0.4386
20220917,17,283,277,2,0,75.71,0.4398
20220917,18,1461,1398,11,3,38.48,0.4404
20220917,19,889,833,10,0,48.21,0.4817
20220917,20,939,904,36,0,41.43,0.4389
20220917,21,1683,1568,26,0,43.66,0.4416
20220917,22,2556,2372,33,6,47.82,0.5006
20220917,23,3454,3223,33,0,42.55,0.4199
20220918,0,4470,4229,130,6,42.29,0.4667
20220918,1,5795,5496,167,11,39.58,0.4661
20220918,2,5864,5605,142,29,39.41,0.5044
20220918,3,7525,7171,205,12,32.49,0.4637
20220918,4,8195,7769,231,22,36.13,0.4792
20220918,5,7256,6864,192,16,38.88,0.4476
20220918,6,6573,6249,209,3,38.7,0.4675
20220918,7,6101,5814,174,14,35.97,0.4293
20220918,8,6662,6349,93,13,29.83,0.4093
20220918,9,5680,5356,159,8,39.3,0.4587
20220918,10,6662,6262,70,20,34.97,0.4429
20220918,11,7688,7174,126,13,40.49,0.4533
20220918,12,9081,8711,163,30,40.4,0.4861
20220918,13,8096,7657,95,15,37.21,0.4659
20220918,14,5695,5412,100,10,40.95,0.4966
20220918,15,3759,3645,39,15,32.64,0.4719
20220918,17,179,170,0,0,61.8,0.5366
20220918,18,714,687,2,0,32.11,0.4303
20220918,19,597,576,0,0,41.28,0.4134
20220918,20,913,878,6,0,49.27,0.5182
20220918,21,1681,1604,18,0,54.54,0.4921
20220918,22,2641,2404,43,0,37.74,0.4914
20220918,23,2803,2593,19,12,43.23,0.4323
