gender,age_group,fre_city_level,user_cnt,expose_cnt,avg_watch_time,watch_rate_avg,like_cnt,click_cnt,comment_cnt,follow_cnt,collect_cnt,forward_cnt,like_rate,click_rate,comment_rate,follow_rate,collect_rate,forward_rate
F,18-24,一线城市,13,1219,37.78,0.49762459816338894,153,691,3,15,0,0,0.1255,0.5669,0.0025,0.0123,0.0,0.0
F,18-24,三线城市,84,10790,37.29,0.5265341621155191,573,7139,68,5,174,48,0.0531,0.6616,0.0063,0.0005,0.0161,0.0044
F,18-24,二线城市,52,8224,30.53,0.47064738976431847,286,4754,32,17,36,25,0.0348,0.5781,0.0039,0.0021,0.0044,0.003
F,18-24,五线城市,77,7475,34.33,0.5092715027828335,381,4805,36,32,197,14,0.051,0.6428,0.0048,0.0043,0.0264,0.0019
F,18-24,四线城市,80,9969,31.45,0.5059114777122651,618,6263,53,3,115,69,0.062,0.6282,0.0053,0.0003,0.0115,0.0069
F,18-24,新一线城市,30,2783,28.81,0.47651363957090825,79,1615,16,0,51,14,0.0284,0.5803,0.0057,0.0,0.0183,0.005
F,25-34,一线城市,23,2158,30.4,0.3946855782999413,33,1123,0,0,0,0,0.0153,0.5204,0.0,0.0,0.0,0.0
F,25-34,三线城市,99,12891,31.47,0.48736081050196056,558,7799,27,104,189,19,0.0433,0.605,0.0021,0.0081,0.0147,0.0015
F,25-34,二线城市,68,8628,28.7,0.6129347107551752,117,6071,16,19,12,10,0.0136,0.7036,0.0019,0.0022,0.0014,0.0012
F,25-34,五线城市,113,13169,35.35,0.5168298888943078,149,8699,58,35,57,33,0.0113,0.6606,0.0044,0.0027,0.0043,0.0025
F,25-34,四线城市,108,11654,38.94,0.47501817270813707,177,7054,9,12,129,17,0.0152,0.6053,0.0008,0.001,0.0111,0.0015
F,25-34,新一线城市,57,5200,32.43,0.48385234135498667,97,3079,0,18,3,3,0.0187,0.5921,0.0,0.0035,0.0006,0.0006
F,35-44,unknown,1,17,27.88,0.5628766553512766,0,13,0,0,0,0,0.0,0.7647,0.0,0.0,0.0,0.0
F,35-44,一线城市,13,834,29.31,0.4486279665903011,23,480,0,0,0,0,0.0276,0.5755,0.0,0.0,0.0,0.0
F,35-44,三线城市,122,13082,34.91,0.49757721654388476,242,7941,32,85,169,45,0.0185,0.607,0.0024,0.0065,0.0129,0.0034
F,35-44,二线城市,58,4659,40.78,0.5320390860625894,82,3029,0,24,9,0,0.0176,0.6501,0.0,0.0052,0.0019,0.0
F,35-44,五线城市,95,12641,33.66,0.4544498107888946,138,7021,44,25,37,42,0.0109,0.5554,0.0035,0.002,0.0029,0.0033
F,35-44,四线城市,119,13704,31.61,0.4718218126593877,333,8514,32,30,71,16,0.0243,0.6213,0.0023,0.0022,0.0052,0.0012
F,35-44,新一线城市,68,5947,39.25,0.5031763096501193,102,3900,17,25,53,2,0.0172,0.6558,0.0029,0.0042,0.0089,0.0003
F,45-54,一线城市,4,260,58.65,0.5851664010810587,0,162,0,0,0,0,0.0,0.6231,0.0,0.0,0.0,0.0
F,45-54,三线城市,83,9972,31.45,0.4510100446073243,181,5494,7,15,12,17,0.0182,0.5509,0.0007,0.0015,0.0012,0.0017
F,45-54,二线城市,42,3767,38.72,0.5757568245426751,239,2546,0,136,0,15,0.0634,0.6759,0.0,0.0361,0.0,0.004
F,45-54,五线城市,72,6605,46.88,0.5279458519584629,72,4238,26,6,42,62,0.0109,0.6416,0.0039,0.0009,0.0064,0.0094
F,45-54,四线城市,61,6513,40.64,0.513929305250451,162,4148,12,71,149,6,0.0249,0.6369,0.0018,0.0109,0.0229,0.0009
F,45-54,新一线城市,27,3075,24.39,0.39685366582621734,30,1456,8,0,21,3,0.0098,0.4735,0.0026,0.0,0.0068,0.001
F,55+,一线城市,26,1917,49.18,0.48668238201327746,81,1134,2,39,9,9,0.0423,0.5915,0.001,0.0203,0.0047,0.0047
F,55+,三线城市,212,16740,45.79,0.5274307344619167,151,10469,29,59,45,52,0.009,0.6254,0.0017,0.0035,0.0027,0.0031
F,55+,二线城市,118,11569,36.04,0.46505179299707256,199,6519,17,41,62,62,0.0172,0.5635,0.0015,0.0035,0.0054,0.0054
F,55+,五线城市,206,20719,44.86,0.46432382886398754,339,11850,1,96,85,63,0.0164,0.5719,0.0,0.0046,0.0041,0.003
F,55+,四线城市,219,19501,40.25,0.48646925830675036,330,11365,67,126,54,84,0.0169,0.5828,0.0034,0.0065,0.0028,0.0043
F,55+,新一线城市,87,5567,45.34,0.5126477099451808,197,3407,8,69,34,6,0.0354,0.612,0.0014,0.0124,0.0061,0.0011
M,18-24,一线城市,29,2231,43.82,0.46893248747486843,26,1324,0,0,4,0,0.0117,0.5935,0.0,0.0,0.0018,0.0
M,18-24,三线城市,64,10115,25.52,0.3918403475234012,106,5449,39,3,15,0,0.0105,0.5387,0.0039,0.0003,0.0015,0.0
M,18-24,二线城市,58,10400,33.15,0.5048254955165516,981,6724,46,8,19,12,0.0943,0.6465,0.0044,0.0008,0.0018,0.0012
M,18-24,五线城市,96,13314,36.63,0.43654602480546917,186,7738,22,20,26,12,0.014,0.5812,0.0017,0.0015,0.002,0.0009
M,18-24,四线城市,85,11660,33.15,0.44330360608273794,508,6668,59,119,89,0,0.0436,0.5719,0.0051,0.0102,0.0076,0.0
M,18-24,新一线城市,72,7474,33.58,0.4439848678373469,17,4171,11,0,10,9,0.0023,0.5581,0.0015,0.0,0.0013,0.0012
M,25-34,unknown,1,25,6.92,0.2129517846904965,0,13,0,0,0,0,0.0,0.52,0.0,0.0,0.0,0.0
M,25-34,一线城市,55,5823,31.35,0.4389826135401965,32,2948,0,7,6,0,0.0055,0.5063,0.0,0.0012,0.001,0.0
M,25-34,三线城市,146,15882,40.15,0.4950700872308346,254,10093,16,97,165,38,0.016,0.6355,0.001,0.0061,0.0104,0.0024
M,25-34,二线城市,127,12495,38.76,0.5396302543768446,193,7976,15,42,56,27,0.0154,0.6383,0.0012,0.0034,0.0045,0.0022
M,25-34,五线城市,158,21374,32.66,0.4422628145638674,139,12831,27,52,80,53,0.0065,0.6003,0.0013,0.0024,0.0037,0.0025
M,25-34,四线城市,160,19300,39.79,0.4913763249095917,257,11802,54,47,64,15,0.0133,0.6115,0.0028,0.0024,0.0033,0.0008
