category_id,exposed_date,expose_cnt,video_cnt,user_cnt,watch_time_sum,watch_rate_avg,like_cnt,click_cnt,comment_cnt,follow_cnt,collect_cnt,forward_cnt,hate_cnt,like_rate,click_rate,comment_rate,follow_rate,collect_rate,forward_rate,hate_rate
1,20220915,87,28,31,872,0.4932618180603693,4,43,3,0,0,0,0,0.046,0.4943,0.0345,0.0,0.0,0.0,0.0
1,20220916,796,183,270,14726,0.6099470235292971,26,442,6,0,5,2,0,0.0327,0.5553,0.0075,0.0,0.0063,0.0025,0.0
1,20220917,683,177,252,11682,0.6357522838564549,22,397,0,9,6,0,1,0.0322,0.5813,0.0,0.0132,0.0088,0.0,0.0015
1,20220918,652,163,214,10476,0.6365853696010502,11,402,0,0,9,0,0,0.0169,0.6166,0.0,0.0,0.0138,0.0,0.0
1,20220919,639,159,219,11119,0.6462863413012377,8,356,0,8,2,3,0,0.0125,0.5571,0.0,0.0125,0.0031,0.0047,0.0
1,20220920,440,134,165,6080,0.6246551488129971,13,243,0,8,4,4,3,0.0295,0.5523,0.0,0.0182,0.0091,0.0091,0.0068
1,20220921,521,133,189,7336,0.6226440806614412,13,272,0,4,0,0,3,0.025,0.5221,0.0,0.0077,0.0,0.0,0.0058
1,20220922,357,101,138,5704,0.582883020961452,16,197,0,3,7,0,0,0.0448,0.5518,0.0,0.0084,0.0196,0.0,0.0
2,20220915,212,84,68,5037,0.29934990701749004,7,88,0,0,0,0,0,0.033,0.4151,0.0,0.0,0.0,0.0,0.0
2,20220916,2563,573,665,74940,0.36166186846249515,87,1276,8,34,16,3,0,0.0339,0.4979,0.0031,0.0133,0.0062,0.0012,0.0
2,20220917,2503,605,660,72753,0.3618423667901392,74,1232,8,37,9,5,0,0.0296,0.4922,0.0032,0.0148,0.0036,0.002,0.0
2,20220918,2154,554,595,62796,0.3812787575640126,55,1072,5,9,9,9,0,0.0255,0.4977,0.0023,0.0042,0.0042,0.0042,0.0
2,20220919,1814,460,521,60974,0.37167650459234597,43,944,12,27,17,10,3,0.0237,0.5204,0.0066,0.0149,0.0094,0.0055,0.0017
2,20220920,1897,504,516,52235,0.36681147535547726,58,969,3,14,7,6,2,0.0306,0.5108,0.0016,0.0074,0.0037,0.0032,0.0011
2,20220921,1832,483,531,54345,0.3760476494245796,62,965,0,29,7,8,0,0.0338,0.5267,0.0,0.0158,0.0038,0.0044,0.0
2,20220922,1486,392,441,46565,0.3679396774286916,56,718,0,18,18,2,0,0.0377,0.4832,0.0,0.0121,0.0121,0.0013,0.0
3,20220915,159,75,52,5278,0.44769151740412894,6,104,0,0,0,0,0,0.0377,0.6541,0.0,0.0,0.0,0.0,0.0
3,20220916,2204,685,473,85828,0.5524953883393584,73,1525,18,14,11,8,7,0.0331,0.6919,0.0082,0.0064,0.005,0.0036,0.0032
3,20220917,2786,836,575,104326,0.5121264927902457,68,1861,17,14,35,5,0,0.0244,0.668,0.0061,0.005,0.0126,0.0018,0.0
3,20220918,3075,885,603,117945,0.5562345086209061,91,2088,18,22,32,14,4,0.0296,0.679,0.0059,0.0072,0.0104,0.0046,0.0013
3,20220919,1358,444,358,44704,0.5094631423077581,20,869,6,15,15,5,0,0.0147,0.6399,0.0044,0.011,0.011,0.0037,0.0
3,20220920,1328,431,317,45788,0.5311628000168972,26,907,8,9,9,6,5,0.0196,0.683,0.006,0.0068,0.0068,0.0045,0.0038
3,20220921,1250,387,379,42345,0.5289964315429617,41,799,18,3,16,3,1,0.0328,0.6392,0.0144,0.0024,0.0128,0.0024,0.0008
3,20220922,990,325,276,31664,0.464120644571363,21,580,0,6,5,4,0,0.0212,0.5859,0.0,0.0061,0.0051,0.004,0.0
4,20220915,79,28,31,1345,0.4293375891891095,0,36,0,0,0,0,0,0.0,0.4557,0.0,0.0,0.0,0.0,0.0
4,20220916,1030,238,326,20362,0.4414990788980857,24,508,3,0,0,6,0,0.0233,0.4932,0.0029,0.0,0.0,0.0058,0.0
4,20220917,1226,250,364,27669,0.5077701929577205,32,711,0,3,0,3,0,0.0261,0.5799,0.0,0.0024,0.0,0.0024,0.0
4,20220918,1092,250,333,20368,0.4812995138282336,15,595,0,5,9,0,0,0.0137,0.5449,0.0,0.0046,0.0082,0.0,0.0
4,20220919,727,170,216,13613,0.47855336423096917,6,355,0,0,0,0,0,0.0083,0.4883,0.0,0.0,0.0,0.0,0.0
4,20220920,636,163,221,12520,0.44499163418375237,9,310,0,3,6,0,0,0.0142,0.4874,0.0,0.0047,0.0094,0.0,0.0
4,20220921,524,142,167,10482,0.5210512346621211,17,292,0,0,4,0,0,0.0324,0.5573,0.0,0.0,0.0076,0.0,0.0
4,20220922,477,126,159,9227,0.5301257280868801,4,274,3,0,2,0,0,0.0084,0.5744,0.0063,0.0,0.0042,0.0,0.0
5,20220915,92,27,32,1044,0.3243814006347913,0,23,0,0,0,0,0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
5,20220916,704,139,226,8946,0.4723532371368994,6,304,2,0,0,0,2,0.0085,0.4318,0.0028,0.0,0.0,0.0,0.0028
5,20220917,695,152,241,7534,0.4460020064623087,5,275,0,0,3,0,3,0.0072,0.3957,0.0,0.0,0.0043,0.0,0.0043
5,20220918,601,155,202,7901,0.48137362501338876,3,258,0,0,3,2,0,0.005,0.4293,0.0,0.0,0.005,0.0033,0.0
5,20220919,510,124,168,7357,0.4805602840285115,5,203,0,1,0,0,0,0.0098,0.398,0.0,0.002,0.0,0.0,0.0
5,20220920,474,104,166,4383,0.48680713648624824,6,177,0,3,0,0,0,0.0127,0.3734,0.0,0.0063,0.0,0.0,0.0
5,20220921,627,119,204,5824,0.42008751364187585,6,210,0,3,0,0,0,0.0096,0.3349,0.0,0.0048,0.0,0.0,0.0
5,20220922,366,83,134,3905,0.4680870894649301,6,151,0,0,0,0,0,0.0164,0.4126,0.0,0.0,0.0,0.0,0.0
6,20220915,189,60,70,4205,0.5200504166963171,4,120,0,2,0,0,0,0.0212,0.6349,0.0,0.0106,0.0,0.0,0.0
6,20220916,1926,457,579,68157,0.5310811801635763,57,1224,3,6,19,5,1,0.0296,0.6355,0.0016,0.0031,0.0099,0.0026,0.0005
6,20220917,1853,487,566,68438,0.5433164653103182,60,1215,1,7,15,5,0,0.0324,0.6557,0.0005,0.0038,0.0081,0.0027,0.0
6,20220918,2026,486,585,66263,0.5371452826575525,45,1331,16,5,14,2,0,0.0222,0.657,0.0079,0.0025,0.0069,0.001,0.0
6,20220919,1616,400,486,62088,0.5660251362660892,35,1083,4,0,4,0,3,0.0217,0.6702,0.0025,0.0,0.0025,0.0,0.0019
6,20220920,1142,330,379,47574,0.5612099757713938,24,776,4,3,7,0,0,0.021,0.6795,0.0035,0.0026,0.0061,0.0,0.0
6,20220921,953,268,335,30556,0.5083748404058201,19,592,0,0,10,0,0,0.0199,0.6212,0.0,0.0,0.0105,0.0,0.0
6,20220922,965,248,353,31868,0.4776052630072483,36,582,2,5,5,0,0,0.0373,0.6031,0.0021,0.0052,0.0052,0.0,0.0
7,20220915,145,45,45,3607,0.559096248404087,3,93,0,0,0,0,0,0.0207,0.6414,0.0,0.0,0.0,0.0,0.0
7,20220916,1963,357,560,54841,0.6097758459176187,43,1337,3,13,5,3,0,0.0219,0.6811,0.0015,0.0066,0.0025,0.0015,0.0
7,20220917,1772,344,534,53578,0.6332215108035885,64,1161,4,8,17,6,0,0.0361,0.6552,0.0023,0.0045,0.0096,0.0034,0.0
7,20220918,1778,349,525,39765,0.6154560968436068,42,1139,5,4,0,3,0,0.0236,0.6406,0.0028,0.0022,0.0,0.0017,0.0
7,20220919,1207,241,370,30346,0.6156269528929833,8,759,0,0,6,0,0,0.0066,0.6288,0.0,0.0,0.005,0.0,0.0
7,20220920,1377,272,415,36848,0.6216818883386649,38,880,0,0,2,6,0,0.0276,0.6391,0.0,0.0,0.0015,0.0044,0.0
7,20220921,1275,218,396,29296,0.600729032092524,19,766,0,2,8,3,9,0.0149,0.6008,0.0,0.0016,0.0063,0.0024,0.0071
7,20220922,923,208,300,21552,0.5685258241420428,11,536,0,0,3,5,0,0.0119,0.5807,0.0,0.0,0.0033,0.0054,0.0
8,20220915,50,15,14,298,0.7577121117399126,0,17,0,0,0,0,0,0.0,0.34,0.0,0.0,0.0,0.0,0.0
8,20220916,285,73,119,2431,0.610924143272443,7,118,0,3,0,3,0,0.0246,0.414,0.0,0.0105,0.0,0.0105,0.0
8,20220917,195,74,90,2631,0.5789213009223189,11,89,5,0,0,0,0,0.0564,0.4564,0.0256,0.0,0.0,0.0,0.0
8,20220918,254,76,109,3437,0.6136667808949257,5,131,3,0,0,0,0,0.0197,0.5157,0.0118,0.0,0.0,0.0,0.0
8,20220919,184,58,77,2166,0.586639029947884,2,85,0,1,0,0,0,0.0109,0.462,0.0,0.0054,0.0,0.0,0.0
8,20220920,132,48,57,1358,0.6055227175299153,6,55,0,0,3,0,0,0.0455,0.4167,0.0,0.0,0.0227,0.0,0.0
8,20220921,84,33,41,1395,0.7770822166950402,5,56,2,0,6,0,0,0.0595,0.6667,0.0238,0.0,0.0714,0.0,0.0
8,20220922,120,39,53,992,0.5633573093451415,6,48,0,0,0,0,2,0.05,0.4,0.0,0.0,0.0,0.0,0.0167
9,20220915,578,199,181,27086,0.4970709584722526,9,367,0,0,2,3,0,0.0156,0.6349,0.0,0.0,0.0035,0.0052,0.0
9,20220916,6115,1303,1356,250068,0.5464517847982008,120,4148,7,19,34,22,3,0.0196,0.6783,0.0011,0.0031,0.0056,0.0036,0.0005
9,20220917,6621,1377,1411,278836,0.538144617701016,124,4537,17,12,63,15,3,0.0187,0.6852,0.0026,0.0018,0.0095,0.0023,0.0005
9,20220918,6533,1352,1428,277259,0.5226065695413128,157,4278,20,36,41,10,11,0.024,0.6548,0.0031,0.0055,0.0063,0.0015,0.0017
